"kid","alias"
18,"eif2ak3"
18,"dkfzp781h1925"
18,"pek"
18,"perk"
18,"wrs"
18,"otthump00000207186"
18,"otthump00000207187"
18,"otthump00000207188"
18,"prkr like endoplasmic reticulum kinase"
18,"eukaryotic translation initiation factor 2 alpha kinase 3"
18,"hspek"
18,"pancreatic eif2 alpha kinase"
19,"eukaryotic translation initiation factor 2 alpha kinase 4"
19,"eif2ak4"
19,"gcn2"
19,"kiaa1338"
19,"gcn2 eif2alpha kinase"
19,"gcn2 like protein"
19,"eukaryotic translation initiation factor 2 alpha kinase 4"
20,"endoplasmic reticulum to nucleus signaling 1"
20,"ern1"
20,"flj30999"
20,"ire1"
20,"ire1p"
20,"ire1a"
20,"mgc163277"
20,"mgc163279"
20,"hire1p"
20,"er to nucleus signalling 1"
20,"endoplasmic reticulum to nucleus signaling 1"
20,"inositol requiring 1"
20,"inositol requiring enzyme 1"
20,"inositol requiring protein 1"
20,"ire1 alpha"
20,"protein kinase/endoribonuclease"
20,"serine/threonine protein kinase/endoribonuclease ire1"
21,"endoplasmic reticulum to nucleus signaling 2"
21,"ern2"
21,"ire1 beta"
21,"ire1b"
21,"er to nucleus signalling 2"
21,"ire1 beta"
21,"ire1, s. cerevisiae, homolog of"
21,"endoplasmic reticulum to nucleus signalling 2"
21,"endoplasmic reticulum to nucleus signaling 2"
21,"hire2p"
21,"inositol requiring 1 beta"
21,"inositol requiring protein 2"
21,"serine/threonine protein kinase/endoribonuclease ire2"
22,"cyclin g associated kinase"
22,"gak"
22,"flj16629"
22,"flj40395"
22,"mgc99654"
22,"otthump00000147520"
22,"otthump00000217314"
22,"cyclin g associated kinase"
23,"germ cell associated 2 (haspin)"
23,"gsg2"
23,"haspin"
23,"h haspin"
23,"otthump00000115873"
23,"germ cell specific gene 2 protein"
23,"haploid germ cell specific nuclear protein kinase"
23,"serine/threonine protein kinase haspin"
24,"inhibitor of kappa light polypeptide gene enhancer in b cells, kinase complex associated protein"
24,"ikbkap"
24,"rp11 3j11.4"
24,"dkfzp781h1425"
24,"dys"
24,"elp1"
24,"fd"
24,"flj12497"
24,"ikap"
24,"iki3"
24,"tot1"
24,"ikk complex associated protein"
24,"otthump00000021869"
24,"elongator complex protein 1"
24,"ikappab kinase complex associated protein"
24,"p150"
25,"inhibitor of kappa light polypeptide gene enhancer in b cells, kinase beta"
25,"ikbkb"
25,"flj33771"
25,"flj36218"
25,"flj38368"
25,"flj40509"
25,"ikk beta"
25,"ikk2"
25,"ikkb"
25,"mgc131801"
25,"nfkbikb"
25,"i kappa b kinase 2"
25,"i kappa b kinase beta"
25,"ikk b"
25,"otthump00000225854"
25,"otthump00000225860"
25,"otthump00000225865"
25,"otthump00000225866"
25,"inhibitor of nuclear factor kappa b kinase subunit beta"
25,"nuclear factor nf kappa b inhibitor kinase beta"
26,"inhibitor of kappa light polypeptide gene enhancer in b cells, kinase epsilon"
26,"ikbke"
26,"rp11 534l20.1"
26,"ikk e"
26,"ikk i"
26,"ikke"
26,"ikki"
26,"kiaa0151"
26,"mgc125294"
26,"mgc125295"
26,"mgc125297"
26,"i kappa b kinase epsilon"
26,"ikk epsilon"
26,"ikk related kinase epsilon"
26,"otthump00000034540"
26,"inducible i kappa b kinase"
26,"inducible ikappab kinase"
26,"inhibitor of nuclear factor kappa b kinase subunit epsilon"
27,"v mos moloney murine sarcoma viral oncogene homolog"
27,"mos"
27,"mgc119962"
27,"mgc119963"
27,"msv"
27,"otthump00000226404"
27,"c mos"
27,"oncogene mos, moloney murine sarcoma virus"
27,"oocyte maturation factor mos"
27,"proto oncogene c mos"
27,"proto oncogene serine/threonine protein kinase mos"
28,"nima (never in mitosis gene a) related kinase 1"
28,"nek1"
28,"dkfzp686d06121"
28,"dkfzp686k12169"
28,"kiaa1901"
28,"mgc138800"
28,"ny ren 55"
28,"srps2"
28,"otthump00000219422"
28,"otthump00000219432"
28,"otthump00000219433"
28,"otthump00000219434"
28,"otthump00000219435"
28,"never in mitosis a related kinase 1"
28,"nima related protein kinase 1"
28,"protein serine/threonine kinase"
28,"renal carcinoma antigen ny ren 55"
28,"serine/threonine protein kinase nek1"
29,"nima (never in mitosis gene a) related kinase 10"
29,"nek10"
29,"flj32685"
29,"otthump00000208385"
29,"never in mitosis a related kinase 10"
29,"nima related protein kinase 10"
29,"serine/threonine protein kinase nek10"
30,"nima (never in mitosis gene a) related kinase 11"
30,"nek11"
30,"flj23495"
30,"otthump00000216112"
30,"otthump00000216137"
30,"otthump00000216138"
30,"otthump00000216139"
30,"otthump00000216140"
30,"otthump00000216604"
30,"serine/threonine protein kinase nek11"
31,"nima (never in mitosis gene a) related kinase 2"
31,"nek2"
31,"hspk21"
31,"nek2a"
31,"nlk1"
31,"otthump00000035216"
31,"otthump00000035217"
31,"nima like protein kinase 1"
31,"nima related protein kinase 2"
31,"serine/threonine protein kinase nek2"
32,"nima (never in mitosis gene a) related kinase 3"
32,"nek3"
32,"rp11 248g5.5"
32,"hspk36"
32,"mgc29949"
32,"hspk 36"
32,"otthump00000018444"
32,"glycogen synthase a kinase"
32,"hydroxyalkyl protein kinase"
32,"never in mitosis a related kinase 3"
32,"nima related protein kinase 3"
32,"phosphorylase b kinase kinase"
32,"serine/threonine protein kinase nek3"
33,"nima (never in mitosis gene a) related kinase 4"
33,"nek4"
33,"mgc33171"
33,"nrk2"
33,"stk2"
33,"pp12301"
33,"otthump00000213580"
33,"otthump00000213581"
33,"otthump00000213582"
33,"never in mitosis a related kinase 4"
33,"nima related protein kinase 4"
33,"serine/threonine kinase 2"
33,"serine/threonine protein kinase 2"
33,"serine/threonine protein kinase 2"
33,"serine/threonine protein kinase nrk2"
33,"serine/threonine protein kinase nek4"
34,"nima (never in mitosis gene a) related kinase 5"
34,"nek5"
34,"mgc75495"
34,"otthump00000018442"
34,"never in mitosis a related kinase 5"
34,"nima related protein kinase 5"
34,"serine/threonine protein kinase nek5"
35,"nima (never in mitosis gene a) related kinase 6"
35,"nek6"
35,"rp11 101k10.6"
35,"sid6 1512"
35,"otthump00000022094"
35,"otthump00000022095"
35,"otthump00000022096"
35,"otthump00000022097"
35,"otthump00000022098"
35,"otthump00000022099"
35,"otthump00000022100"
35,"otthump00000022101"
35,"never in mitosis a related kinase 6"
35,"nima related protein kinase 6"
35,"protein kinase sid6 1512"
35,"putative serine threonine protein kinase"
35,"serine/threonine protein kinase nek6"
36,"nima (never in mitosis gene a) related kinase 7"
36,"nek7"
36,"otthump00000033680"
36,"otthump00000238689"
36,"never in mitosis a related kinase 7"
36,"nima related protein kinase 7"
36,"serine/threonine protein kinase nek7"
37,"nima (never in mitosis gene a) related kinase 8"
37,"nek8"
37,"jck"
37,"mgc138445"
37,"nek12a"
37,"nphp9"
37,"nima family kinase nek8"
37,"nima related kinase 12a"
37,"nephrocystin 9"
37,"never in mitosis a related kinase 8"
37,"nima related protein kinase 8"
37,"nima related protein kinase 12a"
37,"serine/threonine protein kinase nek8"
37,"serine/thrionine protein kinase nek8"
38,"nima (never in mitosis gene a) related kinase 9"
38,"nek9"
38,"dkfzp434d0935"
38,"mgc138306"
38,"mgc16714"
38,"nercc"
38,"nercc1"
38,"nek8"
38,"nima related kinase nek8"
38,"nercc1 kinase"
38,"never in mitosis a related kinase 9"
38,"nima related kinase 8"
38,"nima related protein kinase 9"
38,"serine/threonine protein kinase nek9"
39,"nuclear receptor binding protein 1"
39,"nrbp1"
39,"bcon3"
39,"flj27109"
39,"flj35541"
39,"madm"
39,"mudpnp"
39,"nrbp"
39,"otthump00000123427"
39,"otthump00000123428"
39,"otthump00000200794"
39,"multiple domain putative nuclear protein"
39,"myeloid leukemia factor 1 adaptor molecule"
39,"nuclear receptor binding protein"
40,"nuclear receptor binding protein 2"
40,"nrbp2"
40,"pp9320"
40,"dkfzp434p086"
40,"mgc138699"
40,"trg16"
40,"pp9320"
40,"otthump00000228657"
40,"nuclear receptor binding protein 2"
40,"transformation related protein 16"
41,"pan3 poly(a) specific ribonuclease subunit homolog (s. cerevisiae)"
41,"pan3"
41,"rp11 179f17.3"
41,"otthump00000018179"
41,"otthump00000018180"
41,"pab dependent poly(a) specific ribonuclease subunit 3"
41,"pabp dependent poly(a) nuclease 3"
41,"pabp1 dependent poly a specific ribonuclease subunit pan3"
41,"hpan3"
42,"pdz binding kinase"
42,"pbk"
42,"ct84"
42,"flj14385"
42,"nori 3"
42,"spk"
42,"topk"
42,"mapkk like protein kinase"
42,"otthump00000128310"
42,"otthump00000225324"
42,"pdz binding kinase"
42,"t lak cell originated protein kinase"
42,"cancer/testis antigen 84"
42,"lymphokine activated killer t cell originated protein kinase"
42,"serine/threonine protein kinase"
42,"spermatogenesis related protein kinase"
43,"pdlim1 interacting kinase 1 like"
43,"pdik1l"
43,"clik1l"
43,"rp11 96l14.4"
43,"stk35l2"
43,"otthump00000008702"
43,"otthump00000008703"
43,"pdlim1 interacting kinase 1 like"
43,"casein kinase"
43,"serine/threonine protein kinase pdik1l"
44,"phosphoinositide 3 kinase, regulatory subunit 4"
44,"pik3r4"
44,"mgc102700"
44,"vps15"
44,"p150"
44,"otthump00000216091"
44,"pi3 kinase p150 subunit"
44,"pi3 kinase regulatory subunit 4"
44,"phosphatidylinositol 3 kinase associated p150"
44,"phosphoinositide 3 kinase adaptor protein"
44,"phosphoinositide 3 kinase regulatory subunit 4"
44,"phosphoinositide 3 kinase, regulatory subunit 4, p150"
45,"pten induced putative kinase 1"
45,"pink1"
45,"brpk"
45,"flj27236"
45,"park6"
45,"otthump00000002881"
45,"pten induced putative kinase protein 1"
45,"protein kinase brpk"
45,"serine/threonine protein kinase pink1, mitochondrial"
46,"protein kinase domain containing, cytoplasmic homolog (mouse)"
46,"pkdcc"
46,"flj18197"
46,"mgc125960"
46,"sgk493"
46,"vlk"
46,"otthump00000201435"
46,"protein kinase domain containing protein, cytoplasmic"
46,"protein kinase like protein sgk493"
46,"sugen kinase 493"
46,"vertebrate lonesome kinase"
47,"protein kinase, membrane associated tyrosine/threonine 1"
47,"pkmyt1"
47,"dkfzp547k1610"
47,"flj20093"
47,"myt1"
47,"otthump00000159225"
47,"membrane associated tyrosine and threonine specific cdc2 inhibitory kinase"
47,"myt1 kinase"
48,"polo like kinase 1"
48,"plk1"
48,"plk"
48,"stpk13"
48,"otthump00000122462"
48,"plk 1"
48,"cell cycle regulated protein kinase"
48,"polo (drosophia) like kinase"
48,"polo like kinase"
48,"serine/threonine protein kinase 13"
48,"serine/threonine protein kinase plk1"
49,"polo like kinase 2"
49,"plk2"
49,"snk"
49,"otthump00000122549"
49,"plk 2"
49,"serine/threonine protein kinase plk2"
49,"serine/threonine protein kinase snk"
49,"serum inducible kinase"
50,"polo like kinase 3"
50,"plk3"
50,"rp11 269f19.6"
50,"cnk"
50,"fnk"
50,"prk"
50,"fgf inducible kinase"
50,"otthump00000010159"
50,"plk 3"
50,"cytokine inducible kinase"
50,"cytokine inducible serine/threonine protein kinase"
50,"proliferation related kinase"
50,"serine/threonine protein kinase plk3"
51,"polo like kinase 4"
51,"plk4"
51,"sak"
51,"stk18"
51,"otthump00000164423"
51,"otthump00000219883"
51,"otthump00000219884"
51,"otthump00000219885"
51,"otthump00000219886"
51,"plk 4"
51,"snk akin kinase"
51,"serine/threonine kinase 18"
51,"serine/threonine protein kinase sak"
51,"serine/threonine protein kinase 18"
51,"serine/threonine protein kinase plk4"
51,"serine/threonine protein kinase sak"
52,"protein kinase, amp activated, gamma 1 non catalytic subunit"
52,"prkag1"
52,"ampkg"
52,"mgc8666"
52,"5' amp activated protein kinase subunit gamma 1"
52,"5' amp activated protein kinase, gamma 1 subunit"
52,"ampk gamma 1 chain"
52,"ampk gamma1"
53,"px domain containing serine/threonine kinase"
53,"pxk"
53,"flj20335"
53,"monaka"
53,"otthump00000214170"
53,"otthump00000214171"
53,"otthump00000214173"
53,"otthump00000214175"
53,"otthump00000214179"
53,"px domain containing protein kinase like protein"
53,"px ser/thr kinase v2"
53,"px serine/threonine kinase"
53,"modulator of na,k atpase long form"
54,"ribonuclease l (2',5' oligoisoadenylate synthetase dependent)"
54,"rnasel"
54,"rp11 20h6.1"
54,"dkfzp781d08126"
54,"mgc104972"
54,"mgc133329"
54,"prca1"
54,"rns4"
54,"2',5' oligoisoadenylate synthetase dependent"
54,"2 5a dependent rnase"
54,"2 5a dependent ribonuclease"
54,"otthump00000033148"
54,"rnase l"
54,"interferon induced 2 5a dependent rnase"
54,"ribonuclease 4"
55,"sh3 binding domain kinase 1"
55,"sbk1"
55,"sbk"
55,"otthump00000231814"
55,"sh3 binding kinase 1"
55,"serine/threonine protein kinase sbk1"
188,"ksr"
56,"sh3 binding domain kinase family, member 2"
56,"sbk2"
56,"sgk069"
56,"otthump00000208765"
56,"sugen kinase 69"
56,"serine/threonine protein kinase sbk2"
57,"scy1 like 1 (s. cerevisiae)"
57,"scyl1"
57,"ht019"
57,"gklp"
57,"mgc78454"
57,"nktl"
57,"ntkl"
57,"p105"
57,"tapk"
57,"teif"
57,"trap"
57,"n terminal kinase like protein"
57,"otthump00000232618"
57,"otthump00000232619"
57,"otthump00000232620"
57,"otthump00000232621"
57,"otthump00000232622"
57,"otthump00000232632"
57,"otthump00000232737"
57,"scy1 like protein 1"
57,"coated vesicle associated kinase of 90 kda"
57,"likely ortholog of mouse n terminal kinase like protein"
57,"telomerase regulation associated protein"
57,"telomerase transcriptional element interacting factor"
57,"telomerase transcriptional elements interacting factor"
57,"teratoma associated tyrosine kinase"
58,"scy1 like 2 (s. cerevisiae)"
58,"scyl2"
58,"cvak104"
58,"flj10074"
58,"kiaa1360"
58,"scy1 like protein 2"
58,"coated vesicle associated kinase of 104 kda"
59,"scy1 like 3 (s. cerevisiae)"
59,"scyl3"
59,"pace 1"
59,"pace1"
59,"rp1 97p20.2"
59,"otthump00000034140"
59,"otthump00000034141"
59,"otthump00000034142"
59,"scy1 like protein 3"
59,"ezrin binding partner pace 1 (pace 1)"
59,"ezrin binding protein pace 1"
59,"protein associating with the carboxyl terminal domain of ezrin"
60,"serine/threonine kinase 16"
60,"stk16"
60,"flj39635"
60,"krct"
60,"mgc16211"
60,"mpsk"
60,"pkl12"
60,"tsf1"
60,"otthump00000205887"
60,"otthump00000205888"
60,"otthump00000205889"
60,"otthump00000205890"
60,"otthump00000205891"
60,"tgf beta stimulated factor 1"
60,"tsf 1"
60,"hpsk"
60,"myristoylated and palmitoylated serine/threonine protein kinase"
60,"protein kinase pkl12"
60,"protein kinase expressed in day 12 fetal liver"
60,"serine/threonine protein kinase 16"
61,"serine/threonine kinase 31"
61,"stk31"
61,"flj16102"
61,"sgk396"
61,"tdrd8"
61,"otthump00000122442"
61,"otthump00000201935"
61,"otthump00000229056"
61,"serine/threonine protein kinase 31"
61,"serine/threonine protein kinase nyd spk"
61,"sugen kinase 396"
61,"tudor domain containing 8"
62,"serine/threonine kinase 35"
62,"stk35"
62,"clik1"
62,"stk35l1"
62,"clik 1"
62,"clp 36 interacting kinase"
62,"clp 36 interacting kinase 1"
62,"otthump00000030006"
62,"pdlim1 interacting kinase 1"
62,"serine threonine kinase 35 long form"
62,"serine/threonine protein kinase 35"
62,"serine/threonine protein kinase 35 l1"
63,"serine/threonine kinase 36"
63,"stk36"
63,"dkfzp434n0223"
63,"fu"
63,"kiaa1278"
63,"otthump00000164096"
63,"otthump00000164097"
63,"otthump00000206456"
63,"fused homolog"
63,"serine/threonine protein kinase 36"
64,"tbc1 domain containing kinase"
64,"tbck"
64,"hspc302"
64,"mgc16169"
64,"tbckl"
64,"otthump00000161871"
64,"otthump00000161872"
64,"otthump00000161873"
64,"otthump00000219943"
64,"tbc domain containing protein kinase like protein"
65,"tank binding kinase 1"
65,"tbk1"
65,"flj11330"
65,"nak"
65,"t2k"
65,"nf kb activating kinase"
65,"nf kappa b activating kinase"
65,"otthump00000239491"
65,"serine/threonine protein kinase tbk1"
66,"testis expressed 14"
66,"tex14"
66,"ct113"
66,"cancer/testis antigen 113"
66,"protein kinase like protein sgk307"
66,"sugen kinase 307"
66,"testis expressed sequence 14"
66,"testis expressed protein 14"
66,"testis expressed sequence 14"
67,"tousled like kinase 1"
67,"tlk1"
67,"kiaa0137"
67,"pku beta"
67,"otthump00000163076"
67,"otthump00000163077"
67,"otthump00000205037"
67,"otthump00000225037"
67,"snare protein kinase snak"
67,"serine threonine protein kinase"
67,"serine/threonine protein kinase tousled like 1"
68,"tousled like kinase 2"
68,"tlk2"
68,"mgc44450"
68,"pku alpha"
68,"serine/threonine kinase"
68,"serine/threonine protein kinase tousled like 2"
69,"tp53 regulating kinase"
69,"tp53rk"
69,"rp1 28h20.1"
69,"bud32"
69,"c20orf64"
69,"nori 2"
69,"nori 2p"
69,"prpk"
69,"dj101a2"
69,"otthump00000108264"
69,"otthump00000108265"
69,"tp53 regulating kinase"
69,"p53 related protein kinase"
70,"ttk protein kinase"
70,"ttk"
70,"rp3 357d13.2"
70,"ct96"
70,"esk"
70,"flj38280"
70,"mps1"
70,"mps1l1"
70,"pyt"
70,"otthump00000016777"
70,"otthump00000016778"
70,"otthump00000220743"
70,"cancer/testis antigen 96"
70,"dual specificity protein kinase ttk"
70,"monopolar spindle 1 like 1"
70,"phosphotyrosine picked threonine kinase"
70,"phosphotyrosine picked threonine protein kinase"
71,"u2af homology motif (uhm) kinase 1"
71,"uhmk1"
71,"dkfzp434c1613"
71,"flj23015"
71,"kis"
71,"kist"
71,"kis protein kinase"
71,"otthump00000029529"
71,"kinase interacting with leukemia associated gene (stathmin)"
71,"serine/threonine protein kinase kist"
72,"unc 51 like kinase 1 (c. elegans)"
72,"ulk1"
72,"atg1"
72,"atg1a"
72,"flj38455"
72,"flj46475"
72,"unc51"
72,"unc51.1"
72,"atg1 autophagy related 1 homolog"
72,"otthump00000237722"
72,"serine/threonine protein kinase ulk1"
73,"unc 51 like kinase 2 (c. elegans)"
73,"ulk2"
73,"atg1b"
73,"kiaa0623"
73,"unc51.2"
73,"otthump00000065847"
73,"otthump00000065848"
73,"serine/threonine protein kinase ulk2"
74,"unc 51 like kinase 3 (c. elegans)"
74,"ulk3"
74,"dkfzp434c131"
74,"flj90566"
74,"serine/threonine protein kinase ulk3"
75,"unc 51 like kinase 4 (c. elegans)"
75,"ulk4"
75,"hcg_1996673"
75,"dkfzp434e1822"
75,"fam7c1"
75,"flj20574"
75,"rec01035"
75,"otthump00000209481"
75,"serine/threonine protein kinase ulk4"
76,"wee1 homolog (s. pombe)"
76,"wee1"
76,"dkfzp686i18166"
76,"flj16446"
76,"wee1a"
76,"wee1hu"
76,"otthump00000231338"
76,"otthump00000231339"
76,"wee1+ homolog"
76,"wee1 like protein kinase"
76,"wee1a kinase"
77,"wee1 homolog 2 (s. pombe)"
77,"wee2"
77,"hcg_39453"
77,"flj16107"
77,"wee1b"
77,"otthump00000212265"
77,"wee1 like protein kinase 1b"
77,"wee1 like protein kinase 2"
77,"wee1b kinase"
78,"wnk lysine deficient protein kinase 1"
78,"wnk1"
78,"hsan2"
78,"hsn2"
78,"kdp"
78,"kiaa0344"
78,"mgc163339"
78,"mgc163341"
78,"prkwnk1"
78,"psk"
78,"p65"
78,"otthump00000115370"
78,"otthump00000237889"
78,"erythrocyte 65 kda protein"
78,"prostate derived sterile 20 like kinase"
78,"protein kinase lysine deficient 1"
78,"protein kinase with no lysine 1"
78,"protein kinase, lysine deficient 1"
78,"serine/threonine protein kinase wnk1"
79,"wnk lysine deficient protein kinase 2"
79,"wnk2"
79,"rp11 165j3.2"
79,"kiaa1760"
79,"ny co 43"
79,"p/okcl.13"
79,"prkwnk2"
79,"sdccag43"
79,"otthump00000196927"
79,"otthump00000196928"
79,"otthump00000196929"
79,"antigen ny co 43"
79,"mitogen activated protein kinase kinase kinase"
79,"protein kinase lysine deficient 2"
79,"protein kinase with no lysine 2"
79,"protein kinase, lysine deficient 2"
79,"serine/threonine protein kinase wnk2"
79,"serologically defined colon cancer antigen 43"
80,"wnk lysine deficient protein kinase 3"
80,"wnk3"
80,"rp3 390o13.2"
80,"flj30437"
80,"flj42662"
80,"kiaa1566"
80,"prkwnk3"
80,"otthump00000023369"
80,"otthump00000023370"
80,"protein kinase with no lysine 3"
80,"serine/threonine protein kinase wnk3"
81,"wnk lysine deficient protein kinase 4"
81,"wnk4"
81,"pha2b"
81,"prkwnk4"
81,"protein kinase lysine deficient 4"
81,"protein kinase with no lysine 4"
